S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
312,2011-05-13,2011,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,FC headquarters in Shabqadar-30km from peshawar,Military,High,Open,FC personnel were gathered there,Military,Shiite,82,95,128,140,2,LRH
313,2011-05-14,2011,Working Day,Weekend,D.G Khan,30.05,70.6333,KPK,MCB bank-Main bazar of Taunsa Sharif,Bank,Low,Open,nan,Civilian,Shiite,0,3,0,9,1,nan
314,2011-05-25,2011,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,CID station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,8,11,41,48,1,Lady reading hospital-khyber teaching complex-hayatabad medical complex
315,2011-05-26,2011,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,checkpoint close to Hangu Police & Rangers station and hangu DPO office,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,28,32,55,60,1,hungu district headquarter hospital
316,2011-05-28,2011,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Bajaur Agency's salarzai village-near Afghan border,Market,Low,Open,nan,Anti_Militants,Sunni,0,8,0,11,1,khar agency headquarter hospital
317,2011-06-05,2011,Holiday,Weekend,Nowshehra,34.0322,73.0944,KPK,Army run Bakery on Mall road-Nowshehra cantt,Military,High,Closed,nan,Military,Shiite,18,19,28,45,1,Lady reading hospital
318,2011-06-12,2011,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,Khyber super market-Peshawarcantt,Market,Low,Open,nan,Civilian,Shiite,32,35,80,107,1,Lady reading hospital
319,2011-06-13,2011,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,silk bank in I-8 markaz,Bank,Low,Open,nan,Civilian,Shiite,1,2,4,6,1,PIMS-Shifa International hospital
320,2011-06-25,2011,Working Day,Weekend,D.G Khan,31.8238,70.9095,KPK,Kolache Town,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,0,10,3,5,1,nan
321,2011-07-11,2011,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Bazar in Central Battagram,Market,Low,Open,nan,Government Official,Shiite,0,7,25,26,1,Battagram District Headquarters hospital
