S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
126,2008-10-09,2008,Working Day,Weekend,Khyber Agency,34.0211,71.2874,FATA,near michni post in landi kotal,Mobile,High,Open,nan,Foreigner,Christian,0,0,0,0,1,nan
127,2008-10-10,2008,Working Day,Weekend,Orakzai Agency,32.9746,70.1456,FATA,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,Parks_Grounds,Low,Open,nan,Anti_Militants,Sunni,40,85,90,200,1,1.KohatDvisional Headquarters Hospital  2.Gahluj hospital 3.Hospitals in Hangu and Kohat
128,2008-10-16,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,0,4,0,27,1,nan
129,2008-10-26,2008,Holiday,Weekend,Mohmand agency ,32.9746,70.1456,FATA,Mohmad Agency-naqi Checkpost,Military,High,Open,nan,Military,Shiite,11,10,0,5,1,1.Ghalaanai Hospital
130,2008-10-29,2008,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Militay checkpost cantoment area bannu,Military,High,Open,nan,Military,Shiite,0,0,0,14,1,1.Combined Military Hospital
131,2008-10-31,2008,Working Day,Weekend,Mardan,34.1982,72.0444,KPK,outside the office of Mardan DIG in malakand mardan road,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,9,10,21,25,1,district headquarter hospital
132,2008-11-02,2008,Holiday,Weekend,South Waziristan,32.3202,69.8597,FATA,Zalai FC checkpost wana,Military,High,Open,nan,Military,Shiite,0,8,0,8,1,nan
133,2008-11-04,2008,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Doabba-checkpost near surpul on hangu tal road,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,7,0,4,1,CMH Hangu
134,2008-11-06,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,SwatPolice & Rangers check post,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,10,1,Syedo Shrif Hospital
135,2008-11-06,2008,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Salarzai Jirga  in batmali area-Bajaur,Parks_Grounds,Low,Open,tribes were discussing formation of lashkar,Anti_Militants,Sunni,16,23,31,45,1,nan
136,2008-11-11,2008,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Qayyum Stadium,Parks_Grounds,Low,Open,Sport Stadium,Government Official,Shiite,3,4,13,20,1,1.Lady Reading Hospital 2.Combined Military Hospital
137,2008-11-12,2008,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,Military,High,Closed,nan,Military,Shiite,0,7,10,12,1,nan
138,2008-11-17,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Security checkpost in gashgur area of  Khawazakhela,Military,High,Open,nan,Military,Shiite,0,10,0,8,1,nan
139,2008-11-20,2008,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Mosque in Badaan area of mamund,Religious,Medium,Closed,maghrib prayer,Religious,Sunni,0,9,0,0,1,District hospital Bajur
140,2008-11-28,2008,Working Day,Weekend,Buner,34.3943,72.6151,KPK,near Tarezi Chowk on the main Bannu-Kohatroad.,Mobile,High,Open,nan,Police_Rangers,Shiite,0,9,0,16,1,nan
141,2008-12-01,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,sangota checkpost in mingora,Military,High,Open,nan,Military,Shiite,0,10,0,50,1,nan
142,2008-12-03,2008,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,Army Convoy passing from shabqadar,Mobile,High,Open,Army convoy,Military,Shiite,5,6,8,10,1,nan
143,2008-12-05,2008,Working Day,Weekend,Orakzai Agency,32.9746,70.1456,KPK,bazar of Kalaia area of lower Orakzai angency,Market,Low,Open,nan,Civilian,Shiite,6,10,8,15,1,Kalidya Hospital
144,2008-12-09,2008,Working Day,Weekend,Buner,34.3943,72.6151,KPK,in Dagar-an area of Buner,Parks_Grounds,Low,Open,nan,Government Official,Shiite,0,1,0,4,1,nan
145,2008-12-28,2008,Holiday,Weekend,Buner,34.3943,72.6151,KPK,Buner Poling station-Infront of govt high school Shalbandi,Government,High,Open,nan,Government official,Shiite,34,37,0,16,0,nan
146,2009-01-04,2009,Holiday,Weekend,D.G Khan,31.8238,70.9095,KPK,multan road in Deara Ismail Khan,Mobile,High,Open,muharram ul haram rally,Police_Rangers,Shiite,7,10,21,25,1,Poly clinic multan
147,2009-01-04,2009,Holiday,Weekend,Bannu,32.9861,70.6042,KPK,near a check-post in Officers’ Colony,Police_Rangers,High,open,nan,Police_Rangers,Shiite,0,1,0,2,1,nan
148,2009-01-23,2009,Working Day,Weekend,Swat,35.3833,72.1833,KPK,near Mingora town,Military,High,open,nan,Military,Shiite,0,2,11,25,1,nan
149,2009-02-05,2009,Working Day,Weekend,D.G Khan,30.05,70.6333,Punjab,Outside Jhar ali Imambargah-in muslim town area,Religious,Medium,Open,nan,Religious,Shiite,30,32,48,55,1,Local Hospital In DG Khan/Nishtar Hospital
150,2009-02-05,2009,Working Day,Weekend,Swat,35.3833,72.1833,KPK,near a Police & Rangers station in the Mingora town of SwatDistrict,Police_Rangers,High,open,nan,Police_Rangers,Shiite,0,12,0,0,0,nan
151,2009-02-06,2009,Working Day,Weekend,Khyber Agency,34.0211,71.2874,FATA,Peshawar-Torkham Highway near Teddi Bazar in Jamrood,Mobile,Low,Open,struck the trailer when signalled to stop,Foreigner,Christian,0,0,0,7,1,Jamrud Civil Hospital
152,2009-02-09,2009,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Police & Rangers checkpost on Baran Bridge,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,5,17,18,1,DHQ Hospital Bannu  / PeshawarHospital
153,2009-02-20,2009,Working Day,Weekend,D.G Khan,31.8238,70.9095,KPK,funeral procession on  Dera Bannu road-near shobra hotel,Parks_Grounds,Low,Open,"Funeral Procession of
Imambargah Caretaker",Civilian,Shiite,30,36,150,200,1,"1. DHQ D.I.Khan
2. Nishtar Hospital
3. Lady Reading Pesh"
154,2009-02-21,2009,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Lakki town,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,0,0,nan
155,2009-02-23,2009,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Bannu miranshah road-House of DSP,Residence,Medium,Closed,nan,Police_Rangers,Shiite,0,1,0,2,0,nan
156,2009-03-02,2009,Working Day,Weekend,Pishin,30.5833,67,Balochistan,Killi Karbala village in Pishin district,Educational,Low,Closed,nan,Government Official,Sunni,5,6,5,12,1,Civil hospital Quetta
157,2009-03-11,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,sarki gate area in Nimak Mandi area-Peshawar,Market,Low,Open,"Inauguration  of an 
event by Sr Minister",Government Official,Shiite,4,5,0,6,1,Lady Reading Hospital
158,2009-03-16,2009,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi cantt-Pirwadhi bus stand,Transport,Low,Open,nan,Civilian,Shiite,12,15,16,18,1,"DHQ Hospital RWP
2. Benazir Hospital RWP"
159,2009-03-23,2009,Holiday,Pakistan Day,Islamabad,33.718,73.0718,Capital,sitara maket-special branch Police & Rangers gate,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,8,1,nan
160,2009-03-26,2009,Working Day,Weekend,Tank,32.226,70.3761,KPK,road side restaurant opposite to military base in Jandola,Market,Low,Open,members of peace committe -members of Turkestan group,Anti_Militants,Sunni,7,15,0,25,1,Civil Hospital Tank
161,2009-03-27,2009,Working Day,Weekend,Khyber Agency,34.0211,71.2874,FATA,Mosque in Jamrood Tehsil on peshawar-turkham highway,Religious,Medium,Closed,nan,Religious,Sunni,70,76,100,175,1,Peshwar Hospitals
162,2009-03-30,2009,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,Mirzail checkpost-Miranshah,Mobile,High,Open,security forces convoy was passing from checkpost,Military,Shiite,0,4,0,9,1,nan
163,2009-04-04,2009,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,"Margala Road Check Post
Islamabad",Military,High,Open,nan,Military,Shiite,0,8,4,7,1,"PIMS
Polyclinic"
164,2009-04-04,2009,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,mirnshah security checkpost,Mobile,High,Open,military convoy was passing from checkpost,Military,Shiite,0,8,0,39,1,nan
165,2009-04-05,2009,Holiday,Weekend,Chakwal ,32.9303,72.8556,Punjab,Imambargah in Chakwal,Religious,Medium,Closed,Shia Religious Gathering,Religious,Shiite,22,27,40,60,1,nan
166,2009-04-15,2009,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,"Harichand Police & Rangers Post-
Charsadda",Police_Rangers,High,Open,nan,Police_Rangers,Shiite,16,18,5,10,1,CharsaddaDHQ/Tangi Hospital/JamalAbad hospital/PeshawarHospital
167,2009-04-18,2009,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Check Post close to Police & Rangers station in Doaba Area,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,21,27,26,65,1,Civil Hospital Hangu/ CMH Thall
168,2009-05-05,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,bara qadeem Check post-on peshawar-bara road-12km west of Peshawarcantt,Military,High,Open,nan,Military,Shiite,7,11,25,48,1,Khyber Teaching Hospital / Hayatabad Medical Complex
169,2009-05-11,2009,Working Day,Weekend,Dara Adam Khel,33.6854,71.5131,KPK,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena Police & Rangers station,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,10,11,20,27,1,"1. Lady Reading Hospital Pesh
2. CMH Peshwar"
170,2009-05-21,2009,Working Day,Weekend,Tank,32.226,70.3761,KPK,FC fort in Jandola,Military,High,Open,FC camp,Military,Shiite,6,9,25,36,1,CMH Dera/ TankHospitals
171,2009-05-27,2009,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,hit Police & Rangers checkpost outside Rescue 15 Office and country's premier intelligence agency,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,26,27,320,370,1,Ganga Ram hospital / Meo/ Services Hospital
172,2009-05-28,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,"KohatRoad-Sira Khora-
Police & Rangers  Check Post",Police_Rangers,High,Open,nan,Police_Rangers,Shiite,3,5,3,9,1,"Lady Reading Hospital 
Peshawar"
173,2009-05-28,2009,Working Day,Weekend,D.G Khan,31.8238,70.9095,KPK,checkpost on circular road,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,3,5,8,12,1,nan
174,2009-06-05,2009,Working Day,Weekend,Upper Dir,35.1977,71.8749,FATA,Masjid in Hayagai Sharqai village,Religious,Medium,Closed,nan,Religious,Sunni,0,40,50,70,1,nan
175,2009-06-06,2009,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,Rescue 15 building in Islamabad,Police_Rangers,High,Closed,Senior Police & Rangers Officials meeting,Police_Rangers,Shiite,2,2,4,5,1,PIMS
176,2009-06-09,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,"Pearl Continental Hotel
Peshawar",Hotel,Medium,Closed,nan,Foreigner,Shiite,11,15,50,80,1,"Lady Reading Hospital 
Peshawar"
177,2009-06-11,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,ring road Latifabad-Peshawar,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,1,2,8,15,1,LRH
178,2009-06-12,2009,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Jamia Naeemia madrassa-Garhai Shahu area,Religious,Medium,Closed,nan,Religious,Sunni,5,7,5,12,1,Mayo-Sir Ganga Ram Servuces-Jinnah Hospital
179,2009-06-12,2009,Working Day,Weekend,Nowshehra,34.0322,73.0944,KPK,military run Mosque in Nowshera Cantt-on supply depot morr,Religious,Medium,Closed,nan,Religious,Sunni,4,7,63,105,1,contonment hospital-DHQ Hospital-PeshawarCMH
180,2009-06-22,2009,Working Day,Weekend,Swat,35.3833,72.1833,KPK,Thakot Police & Rangers check-post in Battagram District.,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,7,0,nan
181,2009-06-26,2009,Working Day,Weekend,Muzaffarabad,34.3597,73.4711,AJK,near non commisioned officers place-Muzaffarabad,Mobile,High,Open,nan,Military,Shiite,0,2,3,4,1,CMH Muzzafarabad
182,2009-06-30,2009,Working Day,Weekend,Khyber Agency,34.0211,71.2874,FATA,Quetta-Khi RCD highway-town of Torkham,Foreign,High,Open,blew himself up while being searched at the pak-afghna checkpost,foreigner,Sunni,1,4,10,11,1,nan
183,2009-07-01,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Mashokhel Mera Area-KohatRoad,Mobile,High,Open,nan,Unknown,Shiite,0,1,0,0,1,nan
184,2009-07-02,2009,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,"KRL Bas at Chur Chowk
on Peshawarroad-rwp cantt",Mobile,High,Open,nan,Government official,Shiite,0,1,25,40,1,nan
185,2009-07-08,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,nasir bagh road choongi bazar near Police & Rangers colony,Market,Low,Open,nan,Police_Rangers,Shiite,0,1,2,5,1,nan
186,2009-07-28,2009,Working Day,Weekend,North Waziristan,32.9746,70.1456,KPK,Dirdony post on ghulam khan road-Near Miranshah,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,3,5,1,nan
187,2009-08-13,2009,Working Day,Weekend,South Waziristan,32.3202,69.8597,FATA,wana bazar,Mobile,Low,Open,leader of Nawaz group-a group against taliban,Anti_Militants,Sunni,4,5,0,0,1,nan
188,2009-08-15,2009,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Check post in Khawazakhela- Char Bagh road near-waliabad village,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,3,5,0,4,1,Saidu Sharif hospital
189,2009-08-16,2009,Holiday,Weekend,swat,35.2227,72.4258,KPK,security forces check point,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,1,0,3,1,nan
190,2009-08-18,2009,Working Day,Weekend,North Waziristan,32.9746,70.1456,KPK,Esha check post on bannu-miranshah road,Military,High,Open,nan,Military,Shiite,3,7,0,3,1,nan
191,2009-08-21,2009,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,BB Pakdaman Street,Residence,High,Open,nan,Civilian,Shiite,0,0,0,0,1,nan
192,2009-08-22,2009,Working Day,Weekend,Swat,35.2227,72.4258,KPK,kanju area of Kabal tehsil,Residence,Low,Closed,Police & Rangers raid in the area,Police_Rangers,Shiite,2,3,2,8,1,nan
193,2009-08-23,2009,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,Momin Town,Residence,Low,open,Fateh Khawani of Haji Mobin Afridi,Anti_Militants,Sunni,0,3,0,15,1,Lady Reading Hospital
194,2009-08-27,2009,Working Day,Weekend,Khyber Agency,34.0211,71.2874,FATA,security post near Torkham border,Military,High,Open,nan,Military,Shiite,20,22,10,27,1,Landi Kotal Hospital
195,2009-08-30,2009,Holiday,Weekend,Swat,35.2227,72.4258,KPK,Police & Rangers training center in Mingora,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,16,18,4,14,1,Saidu Sharif hospital
196,2009-09-12,2009,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Doaba Police & Rangers station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,0,0,2,4,1,nan
197,2009-09-13,2009,Holiday,Weekend,Malakand ,34.503,71.9046,KPK,checkpost in Thana area-near batkhela,Military,High,Open,nan,Military,Shiite,0,1,3,5,2,nan
198,2009-09-18,2009,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,Kacha pakha bazar-in Astarzai union council area,Market,Low,Open,nan,Civilian,Shiite,30,37,50,60,1,nan
199,2009-09-19,2009,Working Day,Weekend,Dara Adam Khel,33.6854,71.5131,KPK,"Security Check
Post in zorkalay area",Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,1,1,nan
200,2009-09-21,2009,Working Day,Weekend,Totalai,34.2,72.5,KPK,Tatalai District,Educational,Low,Closed,nan,Government Official,Shiite,0,0,0,0,1,nan
201,2009-09-26,2009,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,outside Police & Rangers Station in mundan area-Bannu,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,7,10,50,65,1,nan
202,2009-09-26,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,"Fakhar e Alam Road-
Saddar-infront of Askari bank",Bank,Low,Open,nan,Civilian,Shiite,10,14,50,120,1,"1. Lady Reading Hospital Pesh
2. CMH Peshwar"
203,2009-09-28,2009,Working Day,Weekend,bannu,32.935,70.6688,KPK,Bakakhel,Mobile,Low,Open,molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric,Anti_Militants,Sunni,4,5,0,0,1,nan
204,2009-10-05,2009,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,WFP office in IslamabadF-8/3,Foreign,High,Closed,nan,foreigner,Christian,0,5,3,8,1,nan
205,2009-10-09,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Khayber Bazar-Peshawar,Market,Low,Open,nan,Civilian,Shiite,48,50,148,187,1,"Lady Reading Hospital 
Peshawar"
206,2009-10-12,2009,Working Day,Weekend,Shangla ,34.8015,72.757,KPK,near Police & Rangers station in Alpuri area of shangla District,Mobile,High,Open,military convoy,Military,Shiite,0,41,45,50,1,Alpuri Hospital
